機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130714600,2508981157,121-06791-2600,丁番軸受,2,0.1,0.2,2025/09/16 08:48:03,2025/09/16 09:18:45
A214,130590000,2507902646,201-06483-3403,天板Ｎ（リーダー有）,1,0.3,0.63,2025/09/16 09:06:53,2025/09/16 13:40:20
A214,130673100,2508951018,312-01101-5300,錠止め板ガイド（Ａ）　ＯＰ（１）４－４,1,0.04377,0.10943,2025/09/16 09:06:57,2025/09/16 11:07:36
A214,130695100,2508967023,312-01101-5300,錠止め板ガイド（Ａ）　ＯＰ（１）４－４,1,0.04377,0.10943,2025/09/16 09:07:25,2025/09/16 11:07:47
A214,130708100,2508978079,312-01101-5300,錠止め板ガイド（Ａ）　ＯＰ（１）４－４,1,0.04377,0.10943,2025/09/16 09:07:41,2025/09/16 11:07:55
A214,130735600,2509992177,312-01101-5300,錠止め板ガイド（Ａ）　ＯＰ（１）４－４,1,0.04377,0.10943,2025/09/16 09:07:49,2025/09/16 11:08:03
A214,130590200,2507902921,201-06483-3403,天板Ｎ（リーダー有）,2,0.3,0.96,2025/09/16 09:09:48,2025/09/16 13:40:27
A214,130590400,2507903179,201-06488-0502,天板Ｗ（リーダー有）,1,0.35,0.75,2025/09/16 09:10:04,2025/09/17 14:49:57
A214,130590600,2507903460,201-06488-0502,天板Ｗ（リーダー有）,1,0.35,0.75,2025/09/16 09:10:16,2025/09/17 14:50:00
A214,130590600,2507903464,201-06488-6802,天板ＮＷ（リーダー有）,1,0.35,0.75,2025/09/16 09:10:50,2025/09/17 14:50:06
A214,130590400,2507903313,201-06501-6000,パネルアームＷ　★切断　公差±0.5★,2,0.1314,0.3674,2025/09/16 09:16:35,2025/09/16 10:14:15
A214,130590600,2507903642,201-06501-6000,パネルアームＷ　★切断　公差±0.5★,2,0.1314,0.3674,2025/09/16 09:16:37,2025/09/16 10:14:25
A214,330135400,2508918836,121-09785-4104,カンヌキ,5,0.09876,0.69876,2025/09/16 11:10:02,2025/09/16 15:09:45
A214,130695100,2508966418,312-03405-9501,本体（６５用）塗装＊Ｃ４０３，ｼﾙﾊﾞｰﾒﾀﾘｯｸ,1,0.3,0.6,2025/09/16 14:20:12,2025/09/16 15:21:46
A214,130708100,2508977493,312-03600-0900,本体（６０用）塗装＊Ｃ４０３，ｼﾙﾊﾞｰﾒﾀﾘｯｸ,1,0.3,0.6,2025/09/16 14:20:38,2025/09/16 16:31:07
A214,130735600,2509991587,312-03600-1300,本体（６０用）塗装＊Ｃ４０３，ｼﾙﾊﾞｰﾒﾀﾘｯｸ,1,0.3,0.6,2025/09/16 14:20:59,2025/09/17 08:52:15
