機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130520800,1234567890,121-07227-1601-0300,扉回転止め金具Ｃ,2,0.05,0.29,2025/8/4 8:46:13,2025/8/4 9:02:38
A214,330117201,2234567890,201-06516-1900-ST,スプリング調整プレート,80,0.01,0.81,2025/8/4 9:04:43,2025/8/4 11:48:01
A214,130337106,3234567890,201-06516-1900,スプリング調整プレート,1,0.01,0.02,2025/8/4 9:09:52,2025/8/4 11:30:29
A214,130337107,4234567890,201-06516-1900,スプリング調整プレート,1,0.01,0.02,2025/8/4 9:10:06,2025/8/4 11:30:38
A214,130337106,5234567890,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/8/4 10:54:54,2025/8/4 16:59:43
A214,130337107,6234567890,201-06501-5800,パネルアームＮ　★切断　公差±0.5★,2,0.14,0.376,2025/8/4 10:55:02,2025/8/4 16:59:46
A214,130352300,7234567890,202-07299-0100,天板Ｎ（リーダー有）（特）,2,0.3,0.96,2025/8/4 13:30:49,2025/8/4 13:45:05
A214,130494400,8234567890,101-10611-5500,丁番肘座１,2,0.15,0.45,2025/8/4 13:43:34,
A214,130573200,9234567890,101-10611-5500,丁番肘座１,2,0.15,0.45,2025/8/4 15:30:59,
