機械番号,製番,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130552600,191-06809-7700,座板Ｃ,2,0.02,0.08,2025/09/04 10:28:38,2025/09/04 10:39:20
A214,130552600,191-06809-7700,座板Ｃ,2,0.02,0.08,2025/09/04 10:28:40,2025/09/04 10:39:25
A214,130652400,101-10611-5500,丁番肘座１,2,0.15,0.45,2025/09/04 10:36:33,2025/09/04 11:14:03
A214,130681000,101-10611-5500,丁番肘座１,2,0.15,0.45,2025/09/04 10:36:49,2025/09/04 11:14:21
A214,130576300,322-02400-5200,■原■フック本体　素材:SS400 113*108*t50,1,0.1,0.5,2025/09/04 11:08:10,2025/09/04 12:10:41
A214,130586000,322-02400-5200,■原■フック本体　素材:SS400 113*108*t50,1,0.1,0.5,2025/09/04 11:08:14,2025/09/04 12:10:48
A214,330104700,251-05927-1401,ドライブカム軸抜止め板,10,0.1,1.1,2025/09/04 13:02:42,2025/09/04 16:48:02
A214,130457100,322-02358-2701,■原■ハンドル座,1,0.2,0.5,2025/09/04 16:13:16,2025/09/04 16:37:26
