機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130590400,2507903179,201-06488-0502,天板Ｗ（リーダー有）,1,0.35,0.75,2025/09/18 00:00:00,2025/09/17 14:49:57
A214,130590600,2507903460,201-06488-0502,天板Ｗ（リーダー有）,1,0.35,0.75,2025/09/18 00:00:00,2025/09/17 14:50:00
A214,130590600,2507903464,201-06488-6802,天板ＮＷ（リーダー有）,1,0.35,0.75,2025/09/18 00:00:00,2025/09/17 14:50:06
A214,130735600,2509991587,312-03600-1300,本体（６０用）塗装＊Ｃ４０３，ｼﾙﾊﾞｰﾒﾀﾘｯｸ,1,0.3,0.6,2025/09/18 00:00:00,2025/09/17 08:52:15
A214,130689300,2508961084,121-06628-1301,押さえ板取付座,2,0.01,0.05,2025/09/17 08:41:53,2025/09/17 09:26:59
A214,130614600,2508910962,121-06628-1301,押さえ板取付座,2,0.01,0.05,2025/09/17 08:42:15,2025/09/17 09:27:10
A214,130689300,2508961054,122-24740-1600,錠止め金物,1,0.025,0.045,2025/09/17 09:22:52,2025/09/17 09:44:14
A214,130614600,2508910932,122-24740-1600,錠止め金物,1,0.025,0.045,2025/09/17 09:23:06,2025/09/17 09:56:06
A214,330160701,2509010388,201-06516-1900-ST,スプリング調整プレート,40,0.01,0.41,2025/09/17 09:51:25,2025/09/17 11:00:42
A214,130708100,2508977943,312-03569-1200,扉補強★外周、穴レーザ加工★,3,0.1,0.199,2025/09/17 10:56:09,2025/09/17 11:30:50
A214,130708100,2508977947,312-03569-1200,扉補強★外周、穴レーザ加工★,3,0.1,0.199,2025/09/17 10:56:12,2025/09/17 11:30:58
A214,130457100,2507824163,322-02383-2600-GE,■原■カンヌキ受 素材SUS304 HL 9×25×,4,0.2,1,2025/09/17 11:26:39,2025/09/17 11:58:36
A214,130753200,2509004547,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/17 11:54:28,2025/09/17 15:38:38
A214,130735600,2509991777,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/17 11:54:31,2025/09/17 15:38:49
A214,130744000,2509999774,101-09436-1001,吊り上げ用アングル,1,0.01,0.02,2025/09/17 11:54:33,2025/09/17 15:38:56
A214,130744000,2509999850,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/17 11:54:35,2025/09/17 15:39:00
A214,130752800,2509004093,111-06930-4900,吊り上げアングル,2,0.05,0.11,2025/09/17 11:54:48,2025/09/17 15:39:05
A214,130753000,2509004412,111-06930-4900,吊り上げアングル,2,0.05,0.11,2025/09/17 11:54:59,2025/09/17 15:39:11
A214,130457100,2507824335,322-02358-3700,■原■ラック,1,0.1,0.2,2025/09/17 11:59:36,2025/09/17 12:07:39
A214,130597000,2507905541,202-06794-2000,リーダーカバー(ＳＵＳ)(特),1,0.1,0.2,2025/09/17 13:10:17,2025/09/17 15:21:15
A214,130597300,2507905579,202-06794-2000,リーダーカバー(ＳＵＳ)(特),1,0.1,0.2,2025/09/17 13:10:20,2025/09/17 15:21:17
A214,130753200,2509004738,101-10441-2002,インターロック軸受,1,0.05,0.12,2025/09/17 14:46:16,2025/09/17 15:20:44
A214,130735600,2509991698,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/17 15:38:45,2025/09/17 15:38:46
A214,130673100,2508950438,312-02728-0401,角度調整部　塗装＊Ｃ４０３，シルバ－メタ,2,0,0.2,2025/09/17 15:40:21,2025/09/17 16:09:30
A214,130695100,2508966439,312-02728-0401,角度調整部　塗装＊Ｃ４０３，シルバ－メタ,2,0,0.2,2025/09/17 15:40:27,2025/09/17 16:09:36
A214,130708100,2508977505,312-02728-0401,角度調整部　塗装＊Ｃ４０３，シルバ－メタ,2,0,0.2,2025/09/17 15:40:38,2025/09/17 16:09:42
A214,130735600,2509991599,312-02728-0401,角度調整部　塗装＊Ｃ４０３，シルバ－メタ,2,0,0.2,2025/09/17 15:40:49,2025/09/17 16:09:53
A214,130627800,2508923057,202-07959-1100,天板Ｍ（特）,1,0.5,1.16667,2025/09/17 15:41:05,2025/09/17 16:31:48
A214,130628001,2508923707,202-07959-1700,天板Ｃ（特）,2,0.5,1.83334,2025/09/17 15:42:32,2025/09/17 23:59:59
A214,130711800,2508973595,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/17 15:55:40,2025/09/17 23:59:59
A214,130709700,2508974402,121-10301-5101,アーム,2,0.06139,0.23583,2025/09/17 15:55:45,2025/09/17 23:59:59
A214,130674000,2508945832,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/17 15:55:48,2025/09/17 23:59:59
A214,130711700,2508973307,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/17 15:56:01,2025/09/17 23:59:59
A214,130709800,2508973957,121-10301-5101,アーム,2,0.06139,0.23583,2025/09/17 15:56:13,2025/09/17 23:59:59
A214,130718300,2508981470,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/17 15:56:15,2025/09/17 23:59:59
