機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130628001,2508923707,202-07959-1700,天板Ｃ（特）,2,0.5,1.83334,2025/09/19 00:00:00,2025/09/18 12:56:09
A214,130711800,2508973595,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/19 00:00:00,2025/09/18 09:23:07
A214,130709700,2508974402,121-10301-5101,アーム,2,0.06139,0.23583,2025/09/19 00:00:00,2025/09/18 09:23:13
A214,130674000,2508945832,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/19 00:00:00,2025/09/18 09:23:19
A214,130711700,2508973307,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/19 00:00:00,2025/09/18 09:23:43
A214,130709800,2508973957,121-10301-5101,アーム,2,0.06139,0.23583,2025/09/19 00:00:00,2025/09/18 09:23:54
A214,130718300,2508981470,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/19 00:00:00,2025/09/18 09:23:59
A214,130551500,2507883492,331-08269-6800,フックベース,1,0.05,0.10448,2025/09/18 08:31:28,2025/09/18 08:48:14
A214,330161700,2509010432,201-06291-7604-ST,フラップ側板１,40,0.01,2.01,2025/09/18 08:53:53,2025/09/19 08:31:28
A214,330161300,2509010413,201-06291-7704-ST,フラップ側板２,40,0.01,2.01,2025/09/18 13:12:53,2025/09/19 09:01:03
