機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,330161700,2509010432,201-06291-7604-ST,フラップ側板１,40,0.01,2.01,2025/09/22 00:00:00,2025/09/19 08:31:28
A214,330161300,2509010413,201-06291-7704-ST,フラップ側板２,40,0.01,2.01,2025/09/22 00:00:00,2025/09/19 09:01:03
A214,130633500,2508919298,121-07746-0300,戸当り受け（１）,2,0.07407,0.50203,2025/09/19 09:01:55,2025/09/19 10:26:46
A214,130730400,2508986867,121-07746-0300,戸当り受け（１）,2,0.07407,0.50203,2025/09/19 09:02:06,2025/09/19 10:26:56
A214,130642400,2508933876,101-10595-9100,振止軸座,1,0.05,0.1,2025/09/19 09:16:19,2025/09/19 11:18:47
A214,130744000,2509999915,101-10595-9100,振止軸座,1,0.05,0.1,2025/09/19 09:16:30,2025/09/19 11:18:57
A214,130752800,2509004060,101-10595-9100,振止軸座,1,0.05,0.1,2025/09/19 09:16:43,2025/09/19 11:19:03
A214,130753000,2509004379,101-10595-9100,振止軸座,1,0.05,0.1,2025/09/19 09:18:19,2025/09/19 11:19:09
A214,130629000,2508922603,112-27482-2600,点検蓋（４）★外周ﾚｰｻﾞ加工◆歪取◆ｼｮｯﾄ、,1,0.1,0.3,2025/09/19 11:20:35,2025/09/19 11:39:27
A214,130629000,2508922614,112-27400-1500,カンヌキテコストッパー＊Ａ,1,0.1,0.2,2025/09/19 11:32:26,2025/09/19 11:48:38
A214,130735600,2509991678,311-00177-1000,クランプ座板,2,0.01,0.06,2025/09/19 11:33:56,2025/09/19 12:01:10
A214,130735600,2509991772,311-00177-1000,クランプ座板,2,0.01,0.06,2025/09/19 11:33:59,2025/09/19 12:01:18
A214,130830100,2509055121,202-07882-2800,フレーム化粧Ｅ（特）,1,0.1,0.11,2025/09/19 12:02:25,2025/09/19 12:09:39
A214,139717700,2509065151,204-00359-8700,【検証】リーダー表示底板（ウッド）　アク,2,0.25,1.05,2025/09/19 12:59:06,2025/09/22 11:23:01
