機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130591900,2507903913,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/10 00:00:00,2025/09/10 23:59:59
A214,130592000,2507904157,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/10 00:00:00,2025/09/10 23:59:59
A214,130592100,2507904410,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/10 00:00:00,2025/09/10 23:59:59
A214,130659700,2508942861,121-10071-6601,アーム,4,0.02,0.1,2025/09/10 08:31:06,2025/09/10 09:01:17
A214,130659900,2508941149,121-10071-6601,アーム,4,0.02,0.1,2025/09/10 08:31:12,2025/09/10 09:01:22
A214,130660100,2508942433,121-10071-6601,アーム,4,0.02,0.1,2025/09/10 08:31:21,2025/09/10 09:01:38
A214,130724400,2508984693,101-09992-0201,戸当り取付座,1,0.01,0.03,2025/09/10 11:19:18,2025/09/10 11:57:03
A214,130578500,2507895285,312-02728-0701,ストッパ－　　　　　ＯＰ（２）１８－７,1,0.1,0.15,2025/09/10 11:58:19,2025/09/10 13:07:44
A214,130578500,2507895360,312-02728-0701,ストッパ－　　　　　ＯＰ（２）１８－７,1,0.1,0.15,2025/09/10 11:58:25,2025/09/10 13:07:47
A214,130578500,2507895188,312-02728-1000,連結板,1,0.1,0.18,2025/09/10 13:05:49,2025/09/10 13:52:52
A214,130673100,2508950855,312-03569-1200,扉補強★外周、穴レーザ加工★,3,0.1,0.199,2025/09/10 13:22:59,2025/09/10 14:09:20
A214,130673100,2508950859,312-03569-1200,扉補強★外周、穴レーザ加工★,3,0.1,0.199,2025/09/10 13:23:06,2025/09/10 14:09:23
A214,130695100,2508966846,312-03569-1200,扉補強★外周、穴レーザ加工★,3,0.1,0.199,2025/09/10 13:23:33,2025/09/10 14:09:32
A214,130695100,2508966855,312-03569-1200,扉補強★外周、穴レーザ加工★,3,0.1,0.199,2025/09/10 13:24:00,2025/09/10 14:09:36
A214,130576300,2507896167,322-02399-3400,■原■吊りアングル,4,0.1,0.9,2025/09/10 14:06:30,2025/09/10 15:02:32
A214,130586000,2507898692,322-02399-3400,■原■吊りアングル,4,0.1,0.9,2025/09/10 14:06:37,2025/09/10 15:02:39
A214,130730400,2508987028,121-07674-8000,かんぬき止めストッパー,1,0.25,0.32,2025/09/10 14:43:28,2025/09/10 15:14:22
A214,130730400,2508986917,121-07679-7200,タイムロックカンヌキ交換板,1,0.09876,0.29628,2025/09/10 15:13:06,2025/09/10 15:35:11
A214,130601000,2507905748,202-06807-2903,フレーム化粧Ｃ,2,0.133,0.299,2025/09/10 15:36:27,2025/09/10 16:40:12
A214,130601000,2507905754,202-06807-2903,フレーム化粧Ｃ,2,0.133,0.299,2025/09/10 15:36:32,2025/09/10 16:40:19
A214,130601100,2507906158,202-06807-2903,フレーム化粧Ｃ,2,0.133,0.299,2025/09/10 15:36:35,2025/09/10 16:40:22
A214,130601100,2507906164,202-06807-2903,フレーム化粧Ｃ,2,0.133,0.299,2025/09/10 15:36:40,2025/09/10 16:40:26
