機械番号,製番,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130452500,331-08269-6800,フックベース,1,0.05,0.10448,2025/09/03 10:48:12,2025/09/03 11:10:03
A214,130680500,201-06044-4503,ベルト固定金具Ａ,2,0.15,0.33,2025/09/03 11:10:36,2025/09/03 12:56:16
A214,130680500,201-06044-4503,ベルト固定金具Ａ,2,0.15,0.33,2025/09/03 11:10:39,2025/09/03 12:56:21
A214,130639300,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/03 12:57:37,2025/09/03 13:08:57
A214,130642000,111-06930-4900,吊り上げアングル,2,0.05,0.11,2025/09/03 13:09:44,2025/09/03 13:34:04
A214,130642400,111-06930-4900,吊り上げアングル,2,0.05,0.11,2025/09/03 13:09:57,2025/09/03 13:34:33
A214,130652400,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:14:22,2025/09/03 13:34:41
A214,130673100,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:14:28,2025/09/03 13:34:48
A214,130673100,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:14:33,2025/09/03 13:34:52
A214,130681000,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:14:38,2025/09/03 13:34:57
A214,130695100,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:14:48,2025/09/03 13:35:08
A214,130695100,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:14:53,2025/09/03 13:35:13
A214,130708100,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:15:09,2025/09/03 13:35:25
A214,130708100,101-09436-1001,吊り上げ用アングル,2,0.01,0.03,2025/09/03 13:15:14,2025/09/03 13:35:28
A214,130541100,322-02323-3301,■原■ハンドル座,1,0.2,0.5,2025/09/03 14:31:45,2025/09/04 16:17:49
