機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130592000,2507904157,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/11 00:00:00,2025/09/11 23:59:59
A214,130592100,2507904410,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/11 00:00:00,2025/09/11 23:59:59
A214,130591900,2507903913,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/11 00:00:00,2025/09/11 16:43:11
A214,130673100,2508950428,312-03584-0600,本体（６５用）塗装＊Ｃ４０３，ｼﾙﾊﾞｰﾒﾀﾘｯｸ,1,0.3,0.6,2025/09/11 08:35:56,2025/09/11 09:42:12
A214,330153601,2508986505,101-07237-0007-ST,掛金受け　部品工事,3,0.2,0.8,2025/09/11 09:27:12,2025/09/11 16:43:08
A214,130714600,2508981148,121-06791-2200,丁番（扉枠）,2,0.02,0.12,2025/09/11 10:48:03,2025/09/11 11:09:10
A214,130576300,2507896094,322-02401-4500,■原■ｼｬｯｸﾙ取付座　素材:SS400 78*64*t30,1,0.2,0.5,2025/09/11 11:09:45,2025/09/11 11:53:38
A214,130586000,2507898569,322-02401-4500,■原■ｼｬｯｸﾙ取付座　素材:SS400 78*64*t30,1,0.2,0.5,2025/09/11 11:09:52,2025/09/11 11:53:45
A214,130578500,2507895130,112-27512-3400,丸落し受け 素材:SUS304 78×38×t25,1,0.2,0.5,2025/09/11 11:54:02,2025/09/11 13:22:53
A214,130694700,2508963863,121-06708-0104-0600,鞄検出バー軸受,1,0.04938,0.05282,2025/09/11 13:07:09,2025/09/11 13:18:43
A214,130694700,2508963872,121-06708-0104-0800,鞄検出装置座,1,0.04938,0.05282,2025/09/11 13:07:11,2025/09/11 13:18:46
A214,130625100,2508914828,121-06708-0104-0600,鞄検出バー軸受,1,0.04938,0.05282,2025/09/11 13:07:24,2025/09/11 13:18:57
A214,130625100,2508914837,121-06708-0104-0800,鞄検出装置座,1,0.04938,0.05282,2025/09/11 13:07:26,2025/09/11 13:19:00
A214,130601000,2507905656,202-06802-6403,フレーム化粧Ｂ,4,0.083,0.283,2025/09/11 13:24:11,2025/09/11 13:48:29
A214,130601100,2507906094,202-06802-6403,フレーム化粧Ｂ,4,0.083,0.283,2025/09/11 13:24:15,2025/09/11 13:48:34
A214,130601000,2507905651,202-06802-8003,フレーム化粧Ａ,2,0.083,0.183,2025/09/11 13:24:30,2025/09/11 14:03:52
A214,130601100,2507906089,202-06802-8003,フレーム化粧Ａ,2,0.083,0.183,2025/09/11 13:24:33,2025/09/11 14:03:58
A214,130601000,2507905661,202-06802-7403,フレーム化粧Ｄ,2,0.083,0.183,2025/09/11 13:24:49,2025/09/11 14:16:40
A214,130601100,2507906099,202-06802-7403,フレーム化粧Ｄ,2,0.083,0.183,2025/09/11 13:24:54,2025/09/11 14:16:44
A214,130601000,2507905666,202-06802-7503,フレーム化粧Ｅ,2,0.083,0.183,2025/09/11 13:25:03,2025/09/11 14:26:45
A214,130601100,2507906104,202-06802-7503,フレーム化粧Ｅ,2,0.083,0.183,2025/09/11 13:25:06,2025/09/11 14:26:49
A214,130667100,2508945997,201-06318-1002,フレーム化粧Ｆ　　　　　　　【追加工】★,6,0.05,0.23,2025/09/11 14:22:50,2025/09/11 14:34:16
